queryid,documentid,answer,exact,f1
135386,100163,imaginativeness,0,0.0
290779,101026,five,1,1.0
21741,1021598,groups of small blisters on the lip and around the mouth,0,0.13333333333333333
810210,1029662,a wide variety of conditions,0,0.25806451612903225
1097448,103635,190,0,0.4
36133,103776,8.6 Mbps,1,1.0
85018,1042657,varicella-zoster virus,0,0.6666666666666666
987100,10462,beneath the surface,0,0.6666666666666666
709560,1050990,seven to eight blood tests,0,0.6666666666666666
285729,1054505,"1,250",0,0.6666666666666666
1082336,105526,18th,0,0.6666666666666666
1098846,1057355,to attract love,0,0.4615384615384615
88284,1059216,-Drugs,0,0.25
576312,106318,"the original parent cell and a new, genetically identical daughter cell",0,0.33333333333333337
499904,1063820,Abnormality,0,0.0
406525,1078569,that fights bacteria in the body,0,0.0
624644,1078747,signs of a problem lurking in your body,0,0.6666666666666666
689851,1082693,sensory function,1,1.0
1004258,1091351,"January 17, 1706",1,1.0
182081,1091839,Tarrant County,1,1.0
546459,1091906,Williamsburg: Weather Forecast.,0,0.08163265306122448
794625,1095403,the withdrawal of a group from a larger entity,1,1.0
1014885,1100911,a writer gives an advance hint of what is to come later in the story,0,0.8
203039,1101373,California 13.3%.,0,0.6666666666666666
902919,1103532,Blood tests for triglycerides are usually part of a lipid profile,0,0.33333333333333337
546825,110805,Annual Weather Averages,0,0.0
1026258,1116510,Joseph Nicephore Nicéphore,0,0.8
711710,1118015,the condition of having less than the normal number of red blood cells,0,0.6896551724137931
257018,1121601,39 days,0,0.5714285714285715
1101048,112313,Charvet,1,1.0
895932,1130834,29 to 31 inches,1,1.0
1088987,1133215,Coronary artery disease,0,0.42857142857142855
506025,1089642,temperate,0,0.05
328629,1142797,24 hours,1,1.0
1021679,1143017,pulmonary artery,1,1.0
696312,1145727,"to plan, budget, oversee and document",0,0.625
763878,11461,an initialism that stands for know your customer,0,0.8750000000000001
276298,114752,3500,0,0.15384615384615385
622100,1152650,discrepancies,0,0.0
593135,1155358,Computer eye strain,0,0.4615384615384615
1091545,1161630,Point‐of‐care testing,0,0.28571428571428575
900062,1163935,bilaterally symmetrical,1,1.0
422624,1170953,Rituximab,0,0.0
663771,1183072,silicate rock and metal,0,0.7272727272727273
96250,1186091,a group of two or more associated polypeptide chains,1,1.0
1084324,1193200,to settle judicially,0,0.18181818181818182
728110,119352,treat high blood pressure and heart failure,1,1.0
300933,1196440,one to two years,0,0.6153846153846153
1059970,1203666,to apply a force,0,0.6666666666666666
1083675,1207273,the application of technology to overcome physical or mental limitations of the body,1,1.0
320117,1208539,28.3495231,0,0.6666666666666666
1083278,1212500,"a family, group, or government controlled by a man",0,0.7777777777777778
1087486,1213268,a unit of atmospheric pressure equal to one thousandth of a bar,1,1.0
1024727,1216143,one of the most common structures for organizing a paper in academic writing,0,0.9
1097995,1218301,between 2-4 weeks,0,0.8
253965,1225604,two weeks,0,0.8
681514,1237909,Abdominal (belly) pain,0,0.0
282411,1245358,17,0,0.6666666666666666
439061,1248180,requires that employers pay time and one-half the regular rate of pay,0,0.6470588235294118
99461,1253531,a large building that is leased exclusively to the person who purchases it,0,0.88
438316,1254095,Heart disease,1,1.0
588888,1260909,damaged liver cells,0,0.6666666666666666
1096227,1265701,$495.00,0,0.33333333333333337
582848,1267600,aluminum cans and plastic bottles,1,1.0
696677,1276700,to assure the conditions in which people can be healthy,0,0.7499999999999999
860071,1280735,the state of Virginia in the United States of America,0,0.5454545454545454
994338,1280830,"xylem, phloem, parenchyma",0,0.6666666666666666
83621,1285360,Bravo Team,0,0.0
1017830,1263638,late spring / early summer,1,1.0
969264,12954,"Jamestown, Virginia",0,0.0
1094389,1304256,the location on the screen where the next character typed will be inserted,0,0.8695652173913044
244011,1308535,30 minutes,1,1.0
420934,1317213,a physical medicine and rehabilitation specialty,0,0.29411764705882354
85904,1319516,infection,0,0.2857142857142857
19552,1320723,a multisystem response to a perceived threat or danger,0,0.923076923076923
780297,1321129,"involuntary movements of the tongue, lips, face, trunk, and extremities",0,0.6428571428571429
841020,132535,a law or rule,0,0.33333333333333337
541969,1340397,One terawatt hour,0,0.4
901355,1354516,400 degrees F,0,0.8
609469,1357096,Metropolitan Statistical Area,0,0.0
123529,1361892,a chronic inflammatory disease,0,0.3157894736842105
1063758,1365657,HTML,0,0.1111111111111111
226132,1374917,"“all the physical, chemical, and biological factors external to a person",0,0.8181818181818181
1088734,1376394,moderate climate,0,0.23529411764705882
620992,1381291,Parkinson,0,0.4
999610,1389277,north San Diego County,0,0.888888888888889
305333,1396948,"$3,500-$30,000",0,0.5
581975,1399463,whole grains and seeds,1,1.0
586268,1401075,minor trauma,0,0.4444444444444445
900077,1403713,"nausea, vomiting, and bleeding in the lungs and nose",1,1.0
900077,1403714,Chronic coughing and sneezing,0,0.34782608695652173
963788,1422889,between ages 10 and 14,1,1.0
831560,1425212,value of the following expression,0,0.0
114638,1427131,a stroke,0,0.0
1059698,1433239,"$2,400-$3,000",0,0.16666666666666669
1089469,1439346,"$300-$2,000",0,0.05405405405405406
425330,1452490,infections,0,0.1
944245,1461071,when the Moon passes directly behind the Earth into its umbra (shadow).,0,0.4444444444444445
592235,146220,other underlying conditions that require medical treatment,0,0.7000000000000001
592235,146223,Jet lag,0,0.10526315789473684
1040703,1468542,the distance of the gates relative to each other,0,0.5384615384615384
111377,1474436,"$17,772",0,0.07999999999999999
15607,1484018,Federal court system,0,0.2222222222222222
503401,1491391,Statutes of limitations,0,0.20689655172413793
189312,1497612,"dark leafy greens, cheese, low-fat milk and yogurt",0,0.5161290322580645
1005476,1501571,Atlantic Ocean and France,0,0.0
328474,1503954,"between $700 and $1,700 per month",1,1.0
307008,151063,"$82,978 per year",0,0.28571428571428575
307008,151064,"£35,350 per annum",0,0.19999999999999998
1048361,1514592,1-888-553-1555,0,0.25
702790,151534,Temporary Assistance for Needy Families,0,0.5555555555555556
401878,151711,Treatment for drug and alcohol addiction can be tax deductible,0,0.8
808235,1524326,Sildenafil,0,0.18181818181818182
242219,1535460,between 1 and 2 weeks,0,0.25641025641025644
634583,1537196,anaerobic infections,0,0.13793103448275862
973917,1548118,seminiferous tubules,0,0.8
727707,1549440,one of the main types of nutrients,0,0.8571428571428571
66908,1550347,This powerful veggie is a must for dieters,0,0.0
109276,1554660,$2.50,0,0.16666666666666669
773924,1560033,Mean platelet volume,0,0.19354838709677416
218000,1563923,type from the command prompt netstat,0,0.7499999999999999
792977,156398,teratoma,0,0.25
662016,1565843,high-fiber,0,0.6666666666666666
1058604,1567056,open-source web browser project,0,0.4
22882,1567596,"immediately before, during, and after blisters are present",0,0.0
761096,1567831,Rim,1,1.0
988169,1579409,a state in the northwestern region of the United States,0,0.923076923076923
356916,1589613,Step 1: Go in to edit settings,0,0.3684210526315789
1051214,1590950,inflammation of the membranes (meninges) surrounding your brain and spinal cord,0,0.9090909090909091
995756,1602468,confederacy,0,0.0
885301,1604526,relief,0,0.0
1023850,1607869,"Glenn Frey, Don Henley, Bernie Leadon, and Randy Meisner",0,0.6
520816,1611399,3 hour,0,0.3076923076923077
402417,1614590,two or more elements,0,0.6153846153846153
897789,161933,Alaska,0,0.07142857142857142
217246,162312,include a range,0,0.0909090909090909
872655,1636321,English,0,0.4
88577,163907,"too much fluid in the tissue, which is called edema",1,1.0
586790,1643811,calcium deposition in the coronary arteries,0,0.8333333333333333
776392,1652667,Peripheral neuropathy is damage to the peripheral nerves,0,0.45161290322580644
952658,166256,second Sunday in March,0,0.888888888888889
260172,1673512,up to 40 hours,0,0.08
856568,1688293,specific to your messaging,0,0.5
1082870,1696122,a standardized admissions test used by many nursing schools to evaluate potential candidates for admission,0,0.20689655172413796
1043337,1696361,"convection of material in the mantle, gravity and the rotation of the planet",0,0.9523809523809523
1092010,1700052,6 to 8 weeks,0,0.6666666666666666
34015,1710290,$130,0,0.2222222222222222
1036782,171535,Customer relationship management,0,0.13043478260869565
327750,1720532,20 percent,0,0.3076923076923077
88577,1721889,conditions involving the local extremities as well as systemic conditions,0,0.339622641509434
878959,1727634,two quarter Moon phases,0,0.25806451612903225
282530,173764,over one million,0,0.4615384615384615
261521,1735979,3 days,0,0.15384615384615385
451070,1738230,Low levels of thyroid hormone,0,0.20408163265306123
511367,1781843,1-888-842-6328,1,1.0
1097585,1781880,2 million,0,0.2857142857142857
1051520,1782428,a ground rule or subjective principle of action,0,0.5384615384615384
46095,1790005,1.25 centimetres or 0.5 inches per month,0,0.5833333333333334
392393,1824038,4.59-7.80 Lakh,0,0.4
912899,1836820,"bacterial infections (such as middle ear, urine, respiratory, and intestinal infections",0,0.7777777777777778
108622,1837320,"$500 to $1,000",0,0.7499999999999999
143424,1837502,Mr. Clinton lied under oath about his affair with Monica Lewinsky,1,1.0
556217,1845958,gradual changes and damage in the brain,0,0.2926829268292683
357664,186972,"=TEXT(A2, mmm)",0,0.1
1037689,1872166,1  1 : the state of being deposited,0,0.0
701663,187767,any set of offsetting positions on personal property,0,0.888888888888889
708904,1890218,Annual General Meeting,0,0.6666666666666666
985259,19009,invasion of another's interest in the private use and enjoyment of land,0,0.846153846153846
1052965,1916842,mobile operating system,0,0.5454545454545454
583611,1942522,anabolic-androgenic steroids,0,0.0
509111,1943221,swelling,0,0.07692307692307693
438324,1944454,"Ischaemic heart disease, stroke, lower respiratory infections",0,0.7368421052631579
915762,195400,tension-free mesh repair,0,0.2222222222222222
694726,1954925,"the study of matter, energy, and the interaction between them",0,0.823529411764706
91711,1956185,fter working for 10 to 20 years,0,0.0
313262,1978066,"$3,000 - 7,000",0,0.21052631578947367
860462,1982266,a tax-free medical expense account for retired people and their eligible dependents,0,0.88
408765,1987259,hypertension,0,0.06060606060606061
237936,1990785,the rock builds up,0,0.15
237936,1990789,Magma rises through cracks or weaknesses in the Earth's crust,0,0.339622641509434
1101434,2000768,rich gold to light yellow,0,0.37037037037037035
392195,2011125,Put a splint,0,0.0
987720,2011942,"New Haven County, Connecticut",0,0.5714285714285715
1045203,2012805,Turner Broadcasting System division of Time Warner,0,0.8750000000000001
556976,2020524,"a long, narrow, curled shelf of bone",0,0.4799999999999999
1005163,2023244,The Fourteenth Amendment,0,0.4
1047738,2026902,an object used on stage or on screen,0,0.6363636363636364
184105,2038018,R is the resistance of the conductor in units of ohms,0,0.4736842105263158
1028179,2040739,1.4million,0,0.25
1095928,2041081,"$30,025 and $103,225",0,0.5454545454545454
681514,204187,Stomach disease,1,1.0
420304,20498,"Panama City, Fla. is located in the Eastern Standard Time zone",1,1.0
26079,2055072,This role is the equivalent of a doctor in human medicine,1,1.0
677672,2056386,varied banjo playing style,0,0.4
1092297,2067678,Arctic tundra,0,0.4444444444444445
662016,2074926,1. Leafy Greens,0,0.4444444444444444
296993,2091170,"10,000",0,0.5
408419,2094900,making it a crime to be drunk in public,0,0.5333333333333333
273481,2097896,four hours,0,0.21052631578947367
902657,2100381,A heart attack,0,0.14285714285714288
413079,2102572,Insulin is usually taken as subcutaneous injections,1,1.0
785772,2104685,to treat the symptoms of hypokalemia,0,0.8333333333333333
614069,2115250,Bandera County,0,0.2666666666666667
1093255,212096,"40,146",0,0.4
780215,2128552,a zero–calorie* sweetener,0,0.21052631578947367
833268,212889,$7.99 per month,0,0.35294117647058826
707835,2135853,a small program for Internet Explorer,0,0.6666666666666666
1080939,2137948,1-800-934-6489,0,0.33333333333333337
156215,2145881,fees,0,0.11764705882352941
1095988,2158205,20 to 40 minutes,0,0.4210526315789474
569939,2158849,"angle parking, perpendicular parking and parallel parking",1,1.0
650378,2177965,a conjunction meaning and,0,0.5
292676,2185666,"29.1 million Americans, or 9.3%",0,0.625
869035,2187084,shooting,0,0.10526315789473684
447797,2191261,lacking the courage to face something difficult or dangerous,1,1.0
954144,220060,at least 4 hours,0,0.5333333333333333
849561,2200965,pain in the chest,0,0.2727272727272727
844594,222327,the main structural protein,0,0.25
1049894,22297,Dire Straits,0,0.0
438316,223186,cancer,0,0.07407407407407407
55682,2240918,"weakness, trouble seeing, feeling tired, and trouble speaking",0,0.8421052631578948
1003884,2252797,March on Washington for Jobs and Freedom,0,0.25
47588,225370,38-40 words per minute,0,0.4
933652,2255880,56℉),0,0.16666666666666669
143293,2256696,30,0,0.19999999999999998
776122,2264295,It is a tasteless and odorless liquid,0,0.09090909090909091
882002,22656,120/80 millimeters of mercury,0,0.29629629629629634
1083341,2266319,OCR may refer the complaint to the Department of Justice for investigation,1,1.0
389385,2269086,influenza,0,0.0
547301,2274875,Weight and Mass Unit Converter,0,0.0
710297,2285849,The American Express Company,0,0.8
836640,2286923,60–100 bpm,0,0.6666666666666666
526671,2294786,"corporations, cooperatives, partnerships, sole traders, limited liability company",1,1.0
